timestamp_ms,latency_ms,ok
1772464778217,74.204,1
1772464778291,68.874,1
1772464778361,53.092,1
1772464778415,52.053,1
1772464778467,52.106,1
1772464778520,52.246,1
1772464778572,52.360,1
1772464778625,55.589,1
1772464778681,55.450,1
1772464778737,51.690,1
1772464778789,52.478,1
1772464778842,55.254,1
1772464778898,53.302,1
1772464778951,51.968,1
1772464779003,53.968,1
1772464779058,54.045,1
1772464779113,52.584,1
1772464779166,52.503,1
1772464779219,52.499,1
1772464779272,51.945,1
1772464779324,52.157,1
1772464779377,53.167,1
1772464779432,53.562,1
1772464779486,53.413,1
1772464779540,53.183,1
1772464779594,52.999,1
1772464779648,53.813,1
1772464779702,53.177,1
1772464779756,51.921,1
1772464779809,52.138,1
1772464779861,52.078,1
1772464779913,52.495,1
1772464779968,53.296,1
1772464780021,53.063,1
1772464780075,53.458,1
1772464780130,53.111,1
1772464780183,52.055,1
1772464780235,52.214,1
1772464780289,52.691,1
1772464780342,52.342,1
1772464780395,51.822,1
1772464780447,51.928,1
1772464780500,52.364,1
1772464780553,52.404,1
1772464780606,52.703,1
1772464780659,53.313,1
1772464780713,52.951,1
1772464780767,68.482,1
1772464780836,54.441,1
1772464780891,52.215,1
1772464780944,53.683,1
1772464780997,54.589,1
1772464781052,52.518,1
1772464781105,54.232,1
1772464781160,52.596,1
1772464781214,53.119,1
1772464781267,53.583,1
1772464781321,52.896,1
1772464781375,53.184,1
1772464781428,53.114,1
1772464781482,53.685,1
1772464781536,54.003,1
1772464781591,52.400,1
1772464781644,54.572,1
1772464781698,52.837,1
1772464781752,53.106,1
1772464781805,53.272,1
1772464781859,52.582,1
1772464781912,53.335,1
1772464781966,54.205,1
1772464782021,52.581,1
1772464782074,52.406,1
1772464782127,51.962,1
1772464782180,54.466,1
1772464782234,53.246,1
1772464782288,52.699,1
1772464782341,54.069,1
1772464782395,54.041,1
1772464782450,51.715,1
1772464782502,54.518,1
1772464782558,52.123,1
1772464782610,53.619,1
1772464782664,52.587,1
1772464782717,54.242,1
1772464782772,52.969,1
1772464782825,53.055,1
1772464782879,53.306,1
1772464782932,55.294,1
1772464782988,54.630,1
1772464783043,52.886,1
1772464783098,53.733,1
1772464783152,51.849,1
1772464783204,52.195,1
1772464783258,80.543,1
1772464783339,53.659,1
1772464783393,52.572,1
1772464783446,52.669,1
1772464783500,54.434,1
1772464783554,51.902,1
1772464783607,52.560,1
1772464783660,52.575,1
1772464783713,52.678,1
1772464783766,52.596,1
1772464783819,52.131,1
1772464783872,52.243,1
1772464783925,54.648,1
1772464783980,52.180,1
1772464784033,53.562,1
1772464784087,53.772,1
1772464784142,53.570,1
1772464784196,54.262,1
1772464784251,52.725,1
1772464784305,52.780,1
1772464784359,53.119,1
1772464784413,52.662,1
1772464784466,54.247,1
1772464784521,53.055,1
1772464784574,52.471,1
1772464784627,55.437,1
1772464784683,53.413,1
1772464784737,53.268,1
1772464784791,52.296,1
1772464784844,52.473,1
1772464784897,53.765,1
1772464784952,51.886,1
1772464785005,52.642,1
1772464785057,52.187,1
1772464785110,52.866,1
1772464785163,52.657,1
1772464785217,51.968,1
1772464785269,53.316,1
1772464785322,52.421,1
1772464785375,54.799,1
1772464785430,51.724,1
1772464785483,53.967,1
1772464785537,54.073,1
1772464785592,53.098,1
1772464785646,53.204,1
1772464785700,97.959,1
1772464785798,53.367,1
1772464785852,52.130,1
1772464785906,52.244,1
1772464785959,52.318,1
1772464786012,54.567,1
1772464786068,53.046,1
1772464786121,52.760,1
1772464786175,53.087,1
1772464786230,53.426,1
1772464786284,52.264,1
1772464786337,52.511,1
1772464786390,52.954,1
1772464786443,54.221,1
1772464786497,53.912,1
1772464786552,54.271,1
1772464786607,52.980,1
1772464786661,53.760,1
1772464786714,54.028,1
1772464786769,51.796,1
1772464786822,53.216,1
1772464786875,52.892,1
1772464786928,53.498,1
1772464786982,53.185,1
1772464787036,52.987,1
1772464787089,53.942,1
1772464787144,53.165,1
1772464787198,52.851,1
1772464787251,53.147,1
1772464787305,53.991,1
1772464787359,53.431,1
1772464787413,53.115,1
1772464787467,51.903,1
1772464787520,52.567,1
1772464787573,52.672,1
1772464787626,52.769,1
1772464787680,53.961,1
1772464787734,52.894,1
1772464787787,52.946,1
1772464787840,52.184,1
1772464787893,52.522,1
1772464787947,52.213,1
1772464787999,52.090,1
1772464788052,53.265,1
